name,definition,formula,bq_query,bq_field,source_table,source_of_truth,validation_status,kpi_deck_slide,notes
Cancellation MRR (FX-adjusted),"Monthly revenue lost from entities that dropped to zero, FX-adjusted.","SUM(-(prev_mrr x FX rate)) WHERE prev_mrr > 0 AND cur_mrr = 0",buildMonthlyMRRSQL,cancellations,revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,MRR Metrics table (Slide 12),"Stored as negative number. Entity had revenue last month, zero this month."
Net New MRR,"Monthly net change in recurring revenue from all movement types.","New MRR + Expansion + Downgrades + Cancellations (downgrades and cancellations are already negative)",computeNetNewMRR (derive-metrics.ts),netNewMRR (derived),revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,MRR Metrics table (Slide 12),"Positive = net growth. Negative = net contraction."
Net New ARR (Monthly),"Net New MRR annualized for the MRR Metrics table.",Net New MRR x 12,computeMRRMetrics (derive-metrics.ts),netNewARR (derived),revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,MRR Metrics table (Slide 12),Different from the quarterly Net New ARR in KPI Summary.
USD/CAD FX Rate,"Monthly average OFX exchange rate for converting US entity revenue to CAD.",Stored value from revenue.fx_rates table,buildMonthlyMRRSQL,avgFxRate,revenue.fx_rates,"OFX monthly averages (confirm which source matches the KPI deck)",near_match,MRR Metrics table (Slide 12),"FX rates table created but may not be fully populated. March 2026 estimate: 1.3700."
FX Change on ARR,"Impact of revaluing US-denominated revenue at the new month's FX rate.",ARR Start (current month) - ARR Exit (prior month),computeMRRMetrics (derive-metrics.ts),fxChangeOnARR (derived),revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,MRR Metrics table (Slide 12),"Captures the FX revaluation effect. First month always 0."
ARR Start,"Beginning-of-month ARR position after FX revaluation.",ARR Exit - Net New ARR - (Other MRR x 12),computeMRRMetrics (derive-metrics.ts),arrStart (derived),revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,MRR Metrics table (Slide 12),"Equivalent to prior month ARR Exit + FX Change on ARR."
Other MRR,"Residual MRR not explained by new/expansion/downgrade/churn. Primarily prepaid expiry transitions.","Total MRR - (prior Total MRR + Net New MRR)",computeMRRMetrics (derive-metrics.ts),otherMRR (derived),revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,MRR Metrics table (Slide 12),"Captures expired prepaid SaaS transitioning from unearned to earned revenue."
ARR Exit,"End-of-month annualized recurring revenue.",Total MRR x 12,computeMRRMetrics (derive-metrics.ts),arrExit (derived),revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,MRR Metrics table (Slide 12),Same as Total ARR for that month.
SaaS ARR (Monthly Chart),"Monthly SaaS ARR trend (FX-adjusted) shown as a bar chart.",Total MRR x 12 (from buildMonthlyMRRSQL),buildMonthlyMRRSQL,totalARR (mapped to arr),revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,Slide 9,Bar chart with data labels showing ARR trend over time.
New MRR (Chart),"Monthly new MRR bar chart showing revenue from first-time paying entities.",SUM(cur_mrr x FX) WHERE prev_mrr = 0 AND cur_mrr > 0,buildMonthlyMRRSQL,newMRR,revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,Slide 10,Separate chart from the MRR Metrics table; same underlying data.
Net New MRR (Chart),"Monthly dual bar chart: New MRR vs Net New MRR side by side.",New MRR and (New MRR + Expansion + Downgrades + Cancellations),computeNetNewMRR (derive-metrics.ts),newMRR and netNewMRR (derived),revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,Slide 11,Two bars per month. Net New MRR can be negative.
Net New ARR (Quarterly Chart),"Quarterly bar chart of annualized net new recurring revenue.","SUM(monthly Net New MRR within quarter) x 12",computeNetNewARR (derive-metrics.ts),netNewARR (derived),revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,Slide 11,Only complete quarters (3 months). Partial excluded.
NRR Components,"Stacked bar chart showing monthly new MRR, expansion, downgrades, and cancellations (FX-adjusted).","Four bars per month: newMRR (positive), expansion (positive), downgrades (negative), churn (negative)",buildMonthlyMRRSQL,"newMRR, expansion, downgrades, cancellations",revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,Slide 10-11,"Downgrades and cancellations stored as negative values from the query."
Monthly NRR % (Chart),"Month-over-month net revenue retention rate shown as a bar chart.","(Start MRR - Cancellations - Downgrades + Expansions) / Start MRR x 100",buildPreFxRetentionSQL,netRet (x100 client-side),revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Slide 14,"Pre-FX. Uses EntityRecordID grouping. Feb '26 = 96.33%."
Monthly GRR % (Chart),"Month-over-month gross revenue retention rate shown as a bar chart.","(Start MRR - Cancellations - Downgrades) / Start MRR x 100",buildPreFxRetentionSQL,grossRet (x100 client-side),revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Slide 14,"Pre-FX. Feb '26 = 94.05%."
Annual NRR % (Chart),"Year-over-year net revenue retention rate shown as a bar chart. Compares same month 12 months apart.","(Start MRR - Cancellations - Downgrades + Expansions) / Start MRR x 100 (12-month comparison)",buildAnnualRetentionSQL,netRet (x100 client-side),revenue.TransLineFlattened,"Feb Annual.xlsx",near_match,Slide 15,"Within $41 for Feb '26 annual. Groups by EntityRecordID."
Annual GRR % (Chart),"Year-over-year gross revenue retention rate shown as a bar chart.","(Start MRR - Cancellations - Downgrades) / Start MRR x 100 (12-month comparison)",buildAnnualRetentionSQL,grossRet (x100 client-side),revenue.TransLineFlattened,"Feb Annual.xlsx",near_match,Slide 15,"Annual pairs start from 2023-01 (comparing to 2022-01)."
Cumulative ACV (Chart),"Running total of new Annual Contract Value booked, shown as a bar chart.",Running SUM(New MRR x 12) from start of data,Derived client-side from buildMonthlyMRRSQL,cumulativeACV (derived from newMRR),revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",unvalidated,Slide 16,"Computed as running sum in dashboard-client.tsx. Not independently validated against spreadsheet."
Paying Logos (Chart),"Monthly count of distinct paying entities, shown as a bar chart.",COUNT(DISTINCT EntityRecordID) WHERE SaaSAmount != 0 per month,buildMonthlyMRRSQL,payingLogos (as logo_count),revenue.TransLineFlattened,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,Slide 17,"EntityRecordID-level count. Looker uses CompanyAccount for customer counts, which may differ."
Enterprise % > $500/mth,"Percentage of paying entities with monthly SaaSAmount > $500.",COUNTIF(saas_mrr > 500) / COUNT(DISTINCT EntityRecordID) x 100,buildEnterprisePctSQL,pctAbove500,revenue.TransLineFlattened,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",unvalidated,Slide 5,"Pre-FX. Uses SaaSAmount threshold. EntityRecordID-level."
Enterprise % > 10 Licenses,"Percentage of paying entities with more than 10 licenses.",COUNTIF(license_count > 10) / COUNT(DISTINCT EntityRecordID) x 100,buildEnterprisePctSQL,pctAbove10Licenses,revenue.TransLineFlattened,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",unvalidated,Slide 5,"Uses MAX(LicenseCount) per entity per month."
NRR by Size — Small,"Quarterly NRR for entities with start-of-quarter MRR < $125, pre-FX.","(Start MRR - Cancellations - Downgrades + Expansions) / Start MRR x 100 for Small bucket only",buildNRRBySizeSQL,nrrPct WHERE sizeBucket = Small,revenue.TransLineFlattened,"Archived NRR by Segment Dashboard (Looker Studio)",unvalidated,Slide 6,"Compares first vs last month of quarter. Threshold: <$125. Pre-FX."
NRR by Size — Medium,"Quarterly NRR for entities with start-of-quarter MRR >= $125 and < $500, pre-FX.","(Start MRR - Cancellations - Downgrades + Expansions) / Start MRR x 100 for Medium bucket only",buildNRRBySizeSQL,nrrPct WHERE sizeBucket = Medium,revenue.TransLineFlattened,"Archived NRR by Segment Dashboard (Looker Studio)",unvalidated,Slide 6,"Threshold: >= $125 and < $500."
NRR by Size — Large,"Quarterly NRR for entities with start-of-quarter MRR >= $500, pre-FX.","(Start MRR - Cancellations - Downgrades + Expansions) / Start MRR x 100 for Large bucket only",buildNRRBySizeSQL,nrrPct WHERE sizeBucket = Large,revenue.TransLineFlattened,"Archived NRR by Segment Dashboard (Looker Studio)",unvalidated,Slide 6,"Threshold: >= $500. Aligns with Enterprise Account Tracking."
Pre-FX Start MRR,"Beginning-of-month MRR for existing customers (entities with revenue in prior month), no FX adjustment.",SUM(prev_mrr) across all entities with prev_mrr > 0,buildPreFxRetentionSQL,startMRR,revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Pre-FX Retention Table,"Feb '26 = $814,714. Exact match."
Pre-FX Cancellations,"Revenue lost from entities that dropped to $0, no FX adjustment.",SUM(prev_mrr) WHERE prev_mrr > 0 AND cur_mrr = 0,buildPreFxRetentionSQL,cancellations,revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Pre-FX Retention Table,"Feb '26 = $28,025. Exact match."
Pre-FX Downgrades,"Revenue decrease from entities that shrank but didn't cancel, no FX adjustment.",SUM(prev_mrr - cur_mrr) WHERE prev_mrr > 0 AND cur_mrr > 0 AND cur_mrr < prev_mrr,buildPreFxRetentionSQL,downgrades,revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Pre-FX Retention Table,"Feb '26 = $20,448. Exact match."
Pre-FX Churn,"Combined cancellations and downgrades, no FX adjustment.",Cancellations + Downgrades,buildPreFxRetentionSQL,churn,revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Pre-FX Retention Table,Sum of the two fields above.
Pre-FX Expansions,"Revenue increase from entities that grew, no FX adjustment.",SUM(cur_mrr - prev_mrr) WHERE prev_mrr > 0 AND cur_mrr > prev_mrr,buildPreFxRetentionSQL,expansions,revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Pre-FX Retention Table,"Feb '26 = $18,579. Exact match."
Pre-FX NRR (Monthly),"Month-over-month Net Revenue Retention as a decimal (e.g. 0.9633).","(Start MRR - Churn + Expansions) / Start MRR",buildPreFxRetentionSQL,netRet,revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Pre-FX Retention Table,"Feb '26 = 0.9633 (96.33%). Exact match."
Pre-FX GRR (Monthly),"Month-over-month Gross Revenue Retention as a decimal (e.g. 0.9405).","(Start MRR - Churn) / Start MRR",buildPreFxRetentionSQL,grossRet,revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Pre-FX Retention Table,"Feb '26 = 0.9405 (94.05%). Exact match."
Downgrades (Chart),"Monthly downgrade dollar amounts from Pre-FX data, shown as a bar chart.",Same as Pre-FX Downgrades,buildPreFxRetentionSQL,downgrades,revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Chart (no specific slide),"Pre-FX values. Shows monthly churn composition."
Cancellations (Chart),"Monthly cancellation dollar amounts from Pre-FX data.",Same as Pre-FX Cancellations,buildPreFxRetentionSQL,cancellations,revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Chart (no specific slide),"Pre-FX values. Paired with downgrades chart."
MRR Trend (Chart),"Monthly MRR trend shown as a bar chart (FX-adjusted).",Total MRR from buildMonthlyMRRSQL,buildMonthlyMRRSQL,totalMRR (mapped to mrr),revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,Chart (no specific slide),"Shows Total MRR per month with data labels."
P&L Table,Profit & Loss statement data for revenue and expense tracking.,N/A — requires accountant data,N/A — blocked,N/A,"P&L data (not in BQ, likely Google Sheets from accountant)","USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",blocked,Slide 3,"Blocked: accountant's P&L data not in BigQuery. May be accessible via Google Sheets API."
Forecast v Result,Forecast vs actual revenue comparison using RevCogs cohort model.,N/A — RevCogs model parked,N/A — blocked,N/A,"RevCogs Google Sheet (1YHFkMKZmVgSIyuiGuU6jo1b4QsIKvHhq4u7AGxhbo8s) + BQ actuals","USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",blocked,Slide 4,"Blocked: RevCogs source spreadsheet not yet provided. Parked until Justin shares it."
Employee Efficiency,Revenue and cost per employee metrics with headcount data.,N/A — requires P&L + headcount,N/A — blocked,N/A,"P&L data + headcount data (not in BQ)","USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",blocked,Slides 19-20,"Blocked: requires both P&L data and headcount data, neither in BigQuery."
